symbol,name,sector,market_cap,shares,price,EPS,Sales,current_eps,EPS_CAGR,Sales_CAGR
TCLTC,Treet Corporation (Ptc),FOOD & PERSONAL CARE PRODUCTS,209947690.0,41822250,5.02,[],[],0.0,0.0,0.0
NCML,Nazir Cotton Mills Limited,TEXTILE SPINNING,276460000.0,23000000,12.02,"['(0.70)', '(1.03)', '(0.09)', '0.12']","['7534', '4161', '3795', '12677']",-0.7,0.0,-0.1592445164989288
TPLP,TPL Properties Limited,PROPERTY,7378292420.0,561086876,13.15,"['(6.47)', '7.50', '12.29', '(1.42)']","['(3084780)', '5286450', '5919154', '283899']",-6.47,0.0,0.0
TCORPR1,Tariq Corporation (Pvt) Ltd (R),,0.0,0,0.79,[],[],0.0,0.0,0.0
MQTM,Maqbool Textile Mills Limited,TEXTILE SPINNING,522915840.0,18432000,28.37,"['(37.89)', '(19.68)', '14.57', '9.08']","['10313728', '9837137', '10381068', '7351741']",-37.89,0.0,0.11945977196262736
SANE,Salman Noman Enterprises Limited,TEXTILE SPINNING,36048980.0,4467036,8.07,"['(5.60)', '(5.93)', '(6.23)', '(6.53)']","['', '', '', '']",-5.6,0.0,0.0
TPLT,TPL Trakker Limited,TECHNOLOGY & COMMUNICATION,1760273070.0,187263093,9.40,"['0.72', '(0.23)', '1.05', '(0.64)']","['2542597', '2253140', '2106469', '1886242']",0.72,0.0,0.10465511145652284
UDLI,UDL International Limited,MISCELLANEOUS,294661400.0,35120548,8.39,"['(0.25)', '(11.10)']",[],-0.25,0.0,0.0
UNITY,Unity Foods Limited,FOOD & PERSONAL CARE PRODUCTS,39415590500.0,1194050000,33.01,[],"['60488680', '90158188', '82184553', '66400968']",0.0,0.0,-0.030606956352214332
UPFL,Unilever Pakistan Foods Limited,FOOD & PERSONAL CARE PRODUCTS,136730590380.0,6369932,465.00,[],"['34586732', '28309317', '19820946', '15572747']",0.0,0.0,0.30471233083443394
USMT,Usman Textile Mills Limited,TEXTILE COMPOSITE,1900410.0,3726300,0.51,[],[],0.0,0.0,0.0
UVIC,The Universal Insurance Company Limited,INSURANCE,485500000.0,50000000,9.71,"['(3.10)', '(2.22)', '0.81', '(1.76)']",[],-3.1,0.0,0.0
WAVES,Waves Corporation Limited,CABLE & ELECTRICAL GOODS,2299087740.0,281406088,8.17,"['0.53', '0.74', '(0.32)', '(1.95)']","['', '', '', '']",0.53,0.0,0.0
WAVESAPP,Waves Home Appliances Limited,CABLE & ELECTRICAL GOODS,2791364900.0,267885307,10.42,"['0.43', '0.05', '(0.04)', '(0.07)']","['4176119', '7422503', '', '']",0.43,0.0,-0.43737052042956404
LMSM,Landmark Spinning Industries Limited,TEXTILE SPINNING,774825670.0,12123700,63.91,"['(0.92)', '(1.02)', '(1.18)', '(1.21)']","['', '', '', '']",-0.92,0.0,0.0
LIVEN,Liven Pharma Limited,PHARMACEUTICALS,16068071380.0,93040367,172.70,"['(0.92)', '(1.02)', '(1.18)', '(1.21)']","['', '', '', '']",-0.92,0.0,0.0
WAVESR1,Waves Singer Pakistan Limited (R),,0.0,0,6.71,[],[],0.0,0.0,0.0
LEUL,Leather Up Limited,LEATHER & TANNERIES,144000000.0,6000000,24.00,"['0.05', '(0.55)', '(2.41)', '(9.78)']","['27525', '27157', '26953', '16961']",0.05,0.0,0.1751463549452199
